ID,S1_Progress,S2_Progress,S1_Attention1,S1_Attention2,S1_Attention3,S1_AttentionFailed,S2_Attention1,S2_Attention_2,S2_Attention_3,S2_AttentionFailed,Gender,Gender_TEXT,Ethnicity,Ethnicity_TEXT,Education,Religion,Religion_9_TEXT,Hel_Pr1,Hel_Pr2,Hel_Pr3,Hel_Pr4,Hel_Pr5,Hel_Pr6,Hel_Pr7,Age,Rrel_exp4,ICQ1,ICQ2,ICQ3,ICQ4,ICQ5,ICQ6,ICQ7,ICQ8,ICQ9,ICQ10,ICQ11,ICQ12,ICQ13,ICQ14,ICQ15,RecFP_1,RecFP_2,RecFP_3,RecFP_4,RecFP_5,RecFP_6,RecFP_7,RecFP_8,AuthFP_1,AuthFP_2,AuthFP_3,AuthFP_4,AuthFP_5,AuthFP_6,AuthFP_7,AuthFP_8
65,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Indian,,Bachelor’s degree,Hinduism,,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Undecided,Strongly disagree,25,more than 3 years but less than 5 years,I'm always good at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm always good at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Slightly important,Quite important,Extremely important,Extremely unimportant,Slightly unimportant,Quite important,Extremely unimportant,Extremely unimportant
74,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,26,1 - 6 months,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,Slightly important,Slightly unimportant,Slightly important,Slightly important,Slightly important,Quite important,Quite important,Slightly important,Slightly unimportant,Quite unimportant,Slightly unimportant,Quite unimportant,Slightly unimportant,Quite unimportant,Slightly unimportant,Extremely unimportant
78,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,25,7 - 12 months,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,Slightly important,Quite unimportant,Slightly unimportant,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
83,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:",Bumiputra,Master’s degree,Islam,,Strongly agree,Disagree,Agree,Strongly agree,Undecided,Strongly agree,Undecided,36,more than 1 year but less than 3 years,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,Extremely important,Slightly unimportant,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly unimportant,Slightly unimportant,Slightly unimportant,Extremely important,Slightly unimportant,Quite important,Extremely unimportant,Extremely unimportant
87,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Undecided,Agree,Undecided,Agree,Disagree,Strongly disagree,25,more than 3 years but less than 5 years,I'm OK at this,I'm always poor at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,Quite important,Slightly important,Slightly important,Quite important,Quite important,Extremely important,Extremely important,Quite important,Quite unimportant,Quite unimportant,Slightly unimportant,Quite unimportant,Quite unimportant,Slightly unimportant,Extremely unimportant,Extremely unimportant
89,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Agree,Undecided,Undecided,Strongly agree,Agree,Undecided,Undecided,31,NA,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly important,Quite unimportant,Extremely unimportant,Slightly important,Slightly unimportant,Slightly unimportant,Extremely important,Extremely important,Extremely unimportant
91,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Buddhism,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,31,NA,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm only fair at this,Quite important,Quite important,Quite important,Quite important,Extremely important,Extremely important,Extremely important,Slightly important,Quite important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite important,Extremely unimportant
93,100,100,Disagree,Agree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:",arab,Bachelor’s degree,Islam,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,26,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm always good at this,I'm OK at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite unimportant,Extremely unimportant,Quite important,Slightly important,Quite important,Slightly important,Slightly important,Extremely unimportant
109,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Master’s degree,Agnosticism,,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,35,7 - 12 months,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always good at this,Slightly important,Extremely unimportant,Slightly important,Slightly unimportant,Extremely important,Slightly unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
122,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Professional degree,Islam,,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,38,more than 5 years but less than 10 years,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm always good at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Quite important,Quite unimportant,Quite unimportant,Extremely unimportant
123,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,30,more than 5 years but less than 10 years,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,Quite important,Quite important,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Quite important,Extremely unimportant,Slightly important,Extremely unimportant,Extremely unimportant,Slightly unimportant,Slightly important,Extremely unimportant,Extremely unimportant
124,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Bachelor’s degree,Islam,,Strongly disagree,Agree,Disagree,Undecided,Agree,Strongly disagree,Strongly agree,34,more than 1 year but less than 3 years,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,Extremely important,Quite unimportant,Quite important,Quite important,Quite important,Slightly unimportant,Extremely important,Slightly unimportant,Extremely unimportant,Extremely unimportant,Slightly unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
137,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Agree,Undecided,Agree,Disagree,Disagree,Agree,32,more than 1 year but less than 3 years,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm always good at this,I'm always poor at this,I'm always good at this,Quite important,Quite unimportant,Quite important,Quite important,Quite important,Quite important,Extremely important,Quite important,Quite unimportant,Extremely unimportant,Slightly important,Quite unimportant,Extremely unimportant,Slightly important,Slightly unimportant,Quite unimportant
140,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Master’s degree,Islam,,Agree,Strongly disagree,Strongly agree,Agree,Undecided,Disagree,Strongly disagree,31,1 - 6 months,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Extremely important,Slightly important,Extremely important,Extremely important,Quite important,Quite important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely important,Extremely unimportant,Extremely unimportant
141,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Disagree,30,NA,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm always good at this,Quite important,Slightly important,Slightly important,Quite important,Quite unimportant,Extremely important,Extremely important,Quite important,Slightly important,Extremely unimportant,Slightly unimportant,Extremely important,Slightly important,Quite important,Extremely unimportant,Slightly unimportant
142,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Disagree,Strongly agree,Disagree,Agree,Undecided,Strongly disagree,31,more than 3 years but less than 5 years,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,Quite important,Slightly important,Quite important,Quite important,Quite important,Extremely important,Extremely important,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
144,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,25,more than 3 years but less than 5 years,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,Extremely important,Slightly important,Extremely important,Slightly important,Extremely important,Extremely important,Extremely important,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Slightly unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant
145,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite important,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,31,NA,I'm always good at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm OK at this,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,Extremely important,Extremely important,Slightly unimportant,Extremely unimportant,Quite important,Slightly unimportant,Extremely unimportant,Slightly important,Slightly important,Quite unimportant,Quite unimportant
146,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Indian,,Professional degree,Hinduism,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,34,more than 3 years but less than 5 years,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm always good at this,Extremely important,Slightly important,Extremely important,Slightly important,Extremely important,Quite important,Extremely important,Quite important,Extremely unimportant,Extremely unimportant,Slightly unimportant,Extremely unimportant,Quite unimportant,Quite important,Extremely unimportant,Extremely unimportant
160,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,College/Pre-university graduate,Agnosticism,,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,26,1 - 6 months,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
162,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Professional degree,Atheism,,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,34,NA,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,Extremely important,Extremely important,Quite important,Quite important,Extremely important,Extremely important,Quite important,Quite important,Slightly unimportant,Quite unimportant,Slightly unimportant,Slightly important,Slightly unimportant,Slightly unimportant,Slightly important,Extremely unimportant
169,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,25,NA,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Slightly unimportant,Quite unimportant,Quite unimportant,Slightly important,Slightly unimportant,Quite unimportant,Extremely unimportant,Quite unimportant
184,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Master’s degree,Christianity,,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,30,more than 1 year but less than 3 years,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Quite unimportant,Slightly important,Quite unimportant,Quite important,Slightly important,Extremely unimportant,Quite unimportant
192,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,26,more than 5 years but less than 10 years,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always poor at this,Extremely important,Quite important,Quite important,Extremely important,Quite important,Extremely important,Quite important,Quite important,Slightly important,Extremely unimportant,Slightly important,Quite unimportant,Quite important,Quite unimportant,Quite unimportant,Quite unimportant
208,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,College/Pre-university graduate,Christianity,,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,25,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always good at this,I'm always poor at this,I'm OK at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely important,Quite unimportant,Quite important,Extremely important,Extremely unimportant,Extremely important
221,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Master’s degree,Agnosticism,,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,30,more than 5 years but less than 10 years,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant
