"ID","S1_Progress","S2_Progress","S1_Attention1","S1_Attention2","S1_Attention3","S1_AttentionFailed","S2_Attention1","S2_Attention_2","S2_Attention_3","S2_AttentionFailed","Gender","Gender_TEXT","Ethnicity","Ethnicity_TEXT","Education","Religion","Religion_9_TEXT","Hel_Pr1","Hel_Pr2","Hel_Pr3","Hel_Pr4","Hel_Pr5","Hel_Pr6","Hel_Pr7","Age","Rrel_exp4","ICQ1","ICQ2","ICQ3","ICQ4","ICQ5","ICQ6","ICQ7","ICQ8","ICQ9","ICQ10","ICQ11","ICQ12","ICQ13","ICQ14","ICQ15","RecFP_1","RecFP_2","RecFP_3","RecFP_4","RecFP_5","RecFP_6","RecFP_7","RecFP_8","AuthFP_1","AuthFP_2","AuthFP_3","AuthFP_4","AuthFP_5","AuthFP_6","AuthFP_7","AuthFP_8","Ethnicity_Chinese","Hel_Avg","SCavg","Initiation","SelfDisc","NegAssr","EmoSup","ConfMan","RecFP","AuthFP"
78,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,4,2,4,2,2,4,25,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,3,4,4,4,6,4,1,1,1,1,1,1,1,1,"Chinese",3.14285714285714,3.06666666666667,3,3,3,3,3.33333333333333,31,8
83,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Other, please specify:","Bumiputra","Master’s degree","Islam",NA,5,2,2,5,3,5,3,36,3,1,1,1,3,1,1,4,4,4,3,3,2,3,2,3,6,3,6,6,6,6,6,6,3,3,3,6,3,5,1,1,"Not Chinese",3.57142857142857,2.4,1,2.66666666666667,1.66666666666667,4,2.66666666666667,45,25
87,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,3,2,3,2,2,1,25,4,3,1,3,2,2,1,2,2,1,4,3,3,1,1,1,5,4,4,5,5,6,6,5,2,2,3,2,2,3,1,1,"Chinese",2.42857142857143,2,2.33333333333333,3.33333333333333,1.66666666666667,1.66666666666667,1,40,16
89,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,4,3,3,5,2,3,3,31,0,2,2,3,4,3,3,3,3,3,2,4,2,3,3,3,6,6,6,6,6,6,6,4,2,1,4,3,3,6,6,1,"Chinese",3.28571428571429,2.86666666666667,2.33333333333333,2.66666666666667,3.33333333333333,3,3,46,26
91,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,1,1,1,1,1,1,1,31,0,2,2,1,2,4,3,3,2,2,4,4,4,4,3,2,5,5,5,5,6,6,6,4,5,1,1,1,1,1,5,1,"Chinese",1,2.8,1.66666666666667,4,3,2.33333333333333,3,42,16
93,100,100,"Disagree","Agree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Other, please specify:","arab","Bachelor’s degree","Islam",NA,4,5,1,5,1,2,5,26,3,4,4,1,4,3,4,4,4,4,2,4,3,1,4,3,6,6,6,6,6,6,6,6,2,1,5,4,5,4,4,1,"Not Chinese",3.28571428571429,3.26666666666667,3,3,3.66666666666667,4,2.66666666666667,48,26
109,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Master’s degree","Agnosticism",NA,2,2,1,4,2,1,1,35,2,1,1,1,1,1,1,3,3,3,1,1,2,2,2,4,4,1,4,3,6,3,6,6,1,1,1,1,1,1,1,1,"Chinese",1.85714285714286,1.8,1,1.33333333333333,1,3,2.66666666666667,33,8
122,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Malay",NA,"Professional degree","Islam",NA,2,4,2,5,4,2,2,38,5,3,1,1,2,2,1,4,4,4,1,1,1,3,3,4,6,5,6,6,6,6,6,6,3,1,2,1,5,2,2,1,"Not Chinese",3,2.33333333333333,1.66666666666667,1,1.66666666666667,4,3.33333333333333,47,17
123,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,2,2,1,1,2,1,30,5,3,2,2,3,1,1,3,3,4,3,3,3,4,4,4,5,5,6,5,6,6,6,5,1,4,1,1,3,4,1,1,"Chinese",1.85714285714286,2.86666666666667,2.33333333333333,3,1.66666666666667,3.33333333333333,4,44,16
124,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,1,4,4,3,2,1,5,34,3,1,1,2,3,2,3,4,4,4,3,3,3,1,1,1,6,2,5,5,5,3,6,3,1,1,3,1,1,1,1,1,"Not Chinese",2.85714285714286,2.4,1.33333333333333,3,2.66666666666667,4,1,35,10
137,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,2,4,3,4,4,2,4,32,3,3,3,3,2,2,2,3,3,1,1,1,3,4,1,4,5,2,5,5,5,5,6,5,2,1,4,2,1,4,3,2,"Chinese",3.28571428571429,2.4,3,1.66666666666667,2,2.33333333333333,3,38,19
140,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Malay",NA,"Master’s degree","Islam",NA,4,1,1,4,3,2,1,31,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,6,5,6,6,4,6,6,5,5,1,1,1,2,6,1,1,"Not Chinese",2.28571428571429,3,3,3,3.33333333333333,3,2.66666666666667,44,18
141,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,2,5,4,4,5,4,2,30,0,1,2,2,2,1,1,3,3,2,3,1,1,2,3,4,5,4,4,5,2,6,6,5,4,1,3,6,4,5,1,3,"Chinese",3.71428571428571,2.06666666666667,1.66666666666667,1.66666666666667,1.33333333333333,2.66666666666667,3,37,27
142,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,2,2,1,2,2,3,1,31,4,2,3,2,3,1,1,3,4,3,1,1,3,3,2,3,5,4,5,5,5,6,6,4,1,1,1,1,1,1,1,1,"Chinese",1.85714285714286,2.33333333333333,2.33333333333333,1.66666666666667,1.66666666666667,3.33333333333333,2.66666666666667,40,8
144,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,5,4,4,4,4,5,5,25,4,2,1,2,2,3,3,3,3,3,4,3,4,3,4,3,6,4,6,4,6,6,6,4,1,1,1,1,3,1,2,1,"Chinese",4.42857142857143,2.86666666666667,1.66666666666667,3.66666666666667,2.66666666666667,3,3.33333333333333,42,11
145,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite important","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,4,5,4,5,5,5,4,31,0,4,3,2,1,2,1,2,4,4,4,4,2,4,4,3,4,4,4,6,4,6,6,3,1,5,3,1,4,4,2,2,"Chinese",4.57142857142857,2.93333333333333,3,3.33333333333333,1.33333333333333,3.33333333333333,3.66666666666667,37,22
146,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Indian",NA,"Professional degree","Hinduism",NA,2,2,2,4,4,2,2,34,4,3,2,2,2,2,3,3,4,3,3,3,2,4,3,4,6,4,6,4,6,5,6,5,1,1,3,1,2,5,1,1,"Not Chinese",2.57142857142857,2.86666666666667,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,3.66666666666667,42,15
160,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"College/Pre-university graduate","Agnosticism",NA,2,4,2,4,2,1,1,26,1,2,1,3,2,2,1,3,3,2,2,2,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,"Chinese",2.28571428571429,2.33333333333333,2,2.33333333333333,1.66666666666667,2.66666666666667,3,11,12
162,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Professional degree","Atheism",NA,2,4,4,2,4,2,2,34,0,3,2,2,2,1,2,3,3,4,3,2,3,2,3,3,6,6,5,5,6,6,5,5,3,2,3,4,3,3,4,1,"Chinese",2.85714285714286,2.53333333333333,2.33333333333333,2.66666666666667,1.66666666666667,3.33333333333333,2.66666666666667,44,23
169,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,1,1,4,2,2,2,25,0,2,1,1,3,3,3,1,3,2,2,3,1,2,2,2,6,5,6,6,6,6,6,5,3,2,2,4,3,2,1,2,"Chinese",2.28571428571429,2.06666666666667,1.33333333333333,2,3,2,2,46,19
184,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Master’s degree","Christianity",NA,4,4,2,1,2,1,2,30,3,2,2,3,4,3,3,4,3,3,2,3,3,3,3,3,6,6,6,6,6,6,6,6,5,2,4,2,5,4,1,2,"Chinese",2.28571428571429,2.93333333333333,2.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,3,48,25
192,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,2,2,4,5,2,1,26,5,3,2,2,3,4,3,2,2,2,2,3,2,3,2,1,6,5,5,6,5,6,5,5,4,1,4,2,5,2,2,2,"Chinese",2.85714285714286,2.4,2.33333333333333,2.33333333333333,3.33333333333333,2,2,43,22
208,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"College/Pre-university graduate","Christianity",NA,4,4,1,4,2,2,4,25,3,4,4,1,4,4,4,4,4,4,2,3,1,4,1,3,6,5,6,6,6,6,6,6,6,1,6,2,5,6,1,6,"Chinese",3,3.13333333333333,3,2,4,4,2.66666666666667,47,33
221,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Master’s degree","Agnosticism",NA,2,4,2,4,4,2,2,30,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,"Chinese",2.85714285714286,2.93333333333333,3,3,3,3,2.66666666666667,10,10
222,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,4,5,2,5,4,2,2,32,3,1,1,1,2,2,2,4,3,2,2,2,2,2,3,3,6,2,5,4,4,6,6,4,3,1,4,4,3,2,2,2,"Not Chinese",3.42857142857143,2.13333333333333,1,2,2,3,2.66666666666667,37,21
225,100,100,"Disagree","Agree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,3,1,1,3,5,1,1,29,4,1,1,2,1,1,1,4,4,4,1,1,4,3,2,4,6,6,6,6,6,6,6,6,6,1,4,3,6,6,6,1,"Not Chinese",2.14285714285714,2.26666666666667,1.33333333333333,2,1,4,3,48,33
227,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Indian",NA,"Bachelor’s degree","Agnosticism",NA,4,4,3,4,4,3,3,26,3,3,3,2,3,3,3,3,3,3,4,3,1,3,3,3,4,4,4,3,2,2,5,3,3,3,2,4,4,4,1,1,"Not Chinese",3.57142857142857,2.86666666666667,2.66666666666667,2.66666666666667,3,3,3,27,22
230,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Taoism",NA,4,2,2,3,4,2,2,29,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,"Chinese",2.71428571428571,1.93333333333333,2,2,2,1.66666666666667,2,34,29
231,100,100,"Disagree","Agree","Agree","No","Slightly important","Often","Moderately so","No","Female",NA,"Other, please specify:","Sabah bumiputra","High school graduate","Christianity",NA,3,4,3,3,4,3,3,34,1,1,1,2,3,1,3,1,2,3,1,1,2,2,2,3,4,4,4,4,5,5,5,4,4,4,4,3,4,4,6,3,"Not Chinese",3.28571428571429,1.86666666666667,1.33333333333333,1.33333333333333,2.33333333333333,2,2.33333333333333,35,32
237,100,100,"Disagree","Agree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"Bachelor’s degree","Hinduism",NA,3,5,2,4,2,1,2,26,0,3,1,4,3,1,2,3,3,3,1,3,2,3,3,3,6,4,6,6,6,4,6,5,4,6,5,3,3,5,4,2,"Not Chinese",2.71428571428571,2.53333333333333,2.66666666666667,2,2,3,3,43,32
257,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,4,4,3,2,4,4,2,25,1,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,6,6,5,5,5,5,6,5,3,5,2,4,3,5,3,3,"Chinese",3.28571428571429,2.66666666666667,2.66666666666667,2.33333333333333,3,2.66666666666667,2.66666666666667,43,28
266,100,100,"Disagree","Neither agree nor disagree","Agree","No","Slightly important","Often","Moderately so","No","Male",NA,"Malay",NA,"College/Pre-university graduate","Islam",NA,2,2,2,2,2,2,2,38,0,2,3,3,2,2,2,3,2,2,3,3,3,2,3,2,5,2,4,4,4,5,5,3,3,2,4,2,3,3,2,1,"Not Chinese",2,2.46666666666667,2.66666666666667,3,2,2.33333333333333,2.33333333333333,32,20
278,100,100,"Disagree","Strongly agree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"College/Pre-university graduate","Other, please specify:","Pantheist",2,4,2,3,2,1,1,25,0,2,4,4,4,4,1,4,4,4,3,3,4,4,4,4,5,4,5,5,6,5,6,4,2,3,1,1,3,1,1,1,"Not Chinese",2.14285714285714,3.53333333333333,3.33333333333333,3.33333333333333,3,4,4,40,13
279,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Master’s degree","Atheism",NA,1,1,1,4,4,3,1,26,4,4,4,3,3,2,1,4,4,4,3,3,4,3,3,2,4,5,5,5,5,5,4,4,4,1,3,1,4,4,1,1,"Chinese",2.14285714285714,3.13333333333333,3.66666666666667,3.33333333333333,2,4,2.66666666666667,37,19
284,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,2,2,1,2,1,1,2,27,2,3,3,4,2,2,2,3,4,4,2,2,1,2,3,4,6,4,6,5,4,5,6,4,3,1,3,2,3,4,4,1,"Chinese",1.57142857142857,2.73333333333333,3.33333333333333,1.66666666666667,2,3.66666666666667,3,40,21
287,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Indian",NA,"Bachelor’s degree","Christianity",NA,4,2,2,2,2,2,2,31,3,3,3,3,3,1,1,4,4,4,3,2,3,3,3,3,5,5,5,5,5,5,5,5,2,2,2,2,3,2,2,2,"Not Chinese",2.28571428571429,2.86666666666667,3,2.66666666666667,1.66666666666667,4,3,40,17
289,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite important","Often","Moderately so","No","Male",NA,"Chinese",NA,"Professional degree","Atheism",NA,4,4,4,5,2,4,2,30,4,3,3,4,2,3,3,3,3,3,4,3,3,1,3,4,6,6,6,6,6,6,6,5,4,4,2,2,4,5,4,1,"Chinese",3.57142857142857,3,3.33333333333333,3.33333333333333,2.66666666666667,3,2.66666666666667,47,26
293,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Master’s degree","Christianity",NA,2,2,2,4,4,2,2,27,3,3,3,3,2,2,2,2,4,4,3,2,2,4,4,3,6,4,5,5,4,6,6,5,2,1,1,1,2,3,1,1,"Chinese",2.57142857142857,2.86666666666667,3,2.33333333333333,2,3.33333333333333,3.66666666666667,41,12
294,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,4,2,2,4,2,2,2,28,2,1,1,1,2,1,1,3,3,3,1,1,3,2,1,1,6,5,4,5,5,6,6,5,2,3,4,3,4,4,4,1,"Chinese",2.57142857142857,1.66666666666667,1,1.66666666666667,1.33333333333333,3,1.33333333333333,42,25
296,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Agnosticism",NA,2,5,2,2,2,2,2,29,1,3,3,3,2,1,1,4,3,3,3,2,2,3,3,4,4,4,5,4,3,4,6,4,4,1,2,1,2,1,1,1,"Chinese",2.42857142857143,2.66666666666667,3,2.33333333333333,1.33333333333333,3.33333333333333,3.33333333333333,34,13
304,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite important","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,3,4,4,4,4,4,3,25,0,1,2,2,3,2,2,2,3,3,2,2,3,3,2,3,5,5,5,4,4,5,6,5,4,2,3,4,4,3,1,1,"Chinese",3.71428571428571,2.33333333333333,1.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667,39,22
310,100,100,"Disagree","Neither agree nor disagree","Agree","No","Slightly important","Often","Moderately so","No","Male",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,2,2,2,2,2,3,2,26,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,4,3,3,3,3,3,3,4,3,3,3,2,2,3,3,2,2,"Not Chinese",2.14285714285714,2.8,3,2,2.66666666666667,3,3.33333333333333,25,20
319,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Indian",NA,"Bachelor’s degree","Islam",NA,4,4,4,4,4,2,4,28,3,1,2,1,2,1,1,3,4,3,4,3,4,3,4,3,6,4,6,6,6,6,6,5,2,1,4,2,3,1,2,2,"Not Chinese",3.71428571428571,2.6,1.33333333333333,3.66666666666667,1.33333333333333,3.33333333333333,3.33333333333333,45,17
328,100,100,"Disagree","Neither agree nor disagree","Agree","No","Slightly important","Often","Moderately so","No","Female",NA,"Other, please specify:","Eurasian","Master’s degree","Christianity",NA,5,5,4,2,2,2,2,38,3,3,3,3,3,4,4,2,2,2,2,2,2,1,2,1,1,4,5,5,5,1,6,2,4,1,3,3,4,5,5,1,"Not Chinese",3.14285714285714,2.4,3,2,3.66666666666667,2,1.33333333333333,29,26
345,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Indian",NA,"Bachelor’s degree","Christianity",NA,4,4,4,2,3,2,2,33,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,6,6,6,6,6,6,6,6,5,3,4,3,4,3,4,2,"Not Chinese",3,2.73333333333333,3,2.66666666666667,2.33333333333333,3,2.66666666666667,48,28
352,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"High school graduate","Buddhism",NA,2,2,2,2,2,4,2,33,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,5,5,5,6,5,3,3,4,2,4,3,3,2,"Chinese",2.28571428571429,3.93333333333333,4,3.66666666666667,4,4,4,37,24
363,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Malay",NA,"Bachelor’s degree","Islam",NA,1,5,2,3,1,1,4,32,1,3,2,4,4,4,4,4,4,4,2,3,3,4,4,4,6,5,6,6,6,5,6,5,3,1,2,2,4,1,1,1,"Not Chinese",2.42857142857143,3.53333333333333,3,2.66666666666667,4,4,4,45,15
367,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Male",NA,"Chinese",NA,"Bachelor’s degree","Buddhism",NA,2,1,1,2,2,2,1,26,3,2,2,2,2,1,1,3,3,3,2,3,4,1,3,2,6,5,6,6,6,6,6,5,4,2,2,1,3,3,2,1,"Chinese",1.57142857142857,2.26666666666667,2,3,1.33333333333333,3,2,46,18
369,100,100,"Disagree","Neither agree nor disagree","Agree","No","Quite unimportant","Often","Moderately so","No","Female",NA,"Chinese",NA,"Bachelor’s degree","Christianity",NA,2,1,1,1,1,3,1,25,0,3,3,3,2,3,2,3,4,3,3,3,3,4,3,3,5,4,5,5,6,6,6,5,2,3,2,1,2,3,1,1,"Chinese",1.42857142857143,3,3,3,2.33333333333333,3.33333333333333,3.33333333333333,42,15
